"Type","Categories","SKU","Name","Published","Visibility in catalog","In stock?","Regular price","Sale price","Attribute 1 name","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 visible","Attribute 2 global","Images","Attribute 1 value(s)","Attribute 2 value(s)","Parent"
"variable","Shirts","SKUF42162","Colorful Element Pattern Print Shirts",1,"visible",1,14.69,14.69,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/0B/96/e1924461-1102-4792-a8f1-21eaf49db065.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/49/64/e51c39cf-2e28-42b2-a85d-59517aa96240.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/0E/D2/3010f561-2e76-4223-9e4e-f28583915d17.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/4C/52/4558876e-8e12-40c4-8cb0-8ea9e263ad6c.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/31/E6/96b391d3-789f-4b3a-a35e-2b56b6d7e85d.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/1A/15/3262620e-b14a-488d-b68b-919daebb2e4c.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/FF/61/18ddd721-65ed-4e09-9526-88691704288b.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/35/45/5b50a4f0-5823-4349-a42e-db0a5fa705a7.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/50/7A/f00263cc-d8f1-4f0f-8284-87c01a643775.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/8C/54/6798e7ae-cfee-4f0b-b1f7-fe33dcf8d487.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/0E/D2/3010f561-2e76-4223-9e4e-f28583915d17.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/53/92/946b1fcb-b7bb-4371-881a-023a5553810c.jpg","Mushroom,White,Tableware","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL",""
"variation","","SKUF42162-Mushroom","Colorful Element Pattern Print Shirts-Mushroom",1,"visible",1,14.69,14.69,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/8C/54/6798e7ae-cfee-4f0b-b1f7-fe33dcf8d487.jpg","Mushroom","","SKUF42162"
"variation","","SKUF42162-White","Colorful Element Pattern Print Shirts-White",1,"visible",1,14.69,14.69,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/0E/D2/3010f561-2e76-4223-9e4e-f28583915d17.jpg","White","","SKUF42162"
"variation","","SKUF42162-Tableware","Colorful Element Pattern Print Shirts-Tableware",1,"visible",1,14.69,14.69,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/53/92/946b1fcb-b7bb-4371-881a-023a5553810c.jpg","Tableware","","SKUF42162"
"variable","Shirts","SKUF38619","Solid Color Smile Face Print Shirts",1,"visible",1,21.92,21.92,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/07/78/491af027-ee89-4305-8208-2f4e560cbe42.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/EA/95/8b040463-5755-4d42-9b20-54ed461ce2da.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/B0/62/5d365d04-2b1a-4eb9-9bcb-cb59881ba38c.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/FF/E3/a01ab38f-35ca-416e-84b5-d7ac16e6e8f1.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/A8/68/54fe9b2b-2fc4-4e9a-93a2-39977a158bb7.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/6E/2A/ad2c2fae-2fa2-455e-a6c9-6f9154b647cd.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/6F/53/891167a0-7f2e-4fb6-b4f1-82b9815ae5b2.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/96/51/2500d8ae-07ed-4b75-8123-b3c464efb235.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/6E/F6/9e330ebb-6f33-4dd5-99f1-cfb94507518f.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/A9/90/f62028d8-aefd-4958-b613-5168fa1bc761.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/EE/9A/9dbe51de-85b5-4231-afd3-288c0d0bb04f.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/1E/B7/d521c2e9-48cd-4f03-b552-6ea7432eae73.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/0B/65/f7640f33-99e9-4cea-b575-0cedb5195cf6.jpg","White,Grey,Black","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL,ASIA 5XL,ASIA 6XL",""
"variation","","SKUF38619-White","Solid Color Smile Face Print Shirts-White",1,"visible",1,21.92,21.92,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/EE/9A/9dbe51de-85b5-4231-afd3-288c0d0bb04f.jpg","White","","SKUF38619"
"variation","","SKUF38619-Grey","Solid Color Smile Face Print Shirts-Grey",1,"visible",1,21.92,21.92,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/1E/B7/d521c2e9-48cd-4f03-b552-6ea7432eae73.jpg","Grey","","SKUF38619"
"variation","","SKUF38619-Black","Solid Color Smile Face Print Shirts-Black",1,"visible",1,21.92,21.92,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/0B/65/f7640f33-99e9-4cea-b575-0cedb5195cf6.jpg","Black","","SKUF38619"
"variable","Shirts","SKUE37685","Plain Color Striola Chest Pocket Shirts",1,"visible",1,15.01,15.01,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/E2/6B/c3b5dc3b-5d9f-4e2f-8d36-d2cecb4c3acf.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/C8/AE/69c0e18c-31c5-402d-9312-aec6c4abca8d.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/7C/BC/553d5cff-8466-4ecb-a77e-185102d2c46c.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/E4/03/a754a695-d5f3-4603-a943-4c37e760c9e7.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/0C/B8/0b7f9ea2-fa7a-4dbe-8f16-3c196b5ab5f4.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/57/61/3154eece-6c6f-4e58-8d83-f7cd9e0b433d.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/31/26/afd4ccd9-317a-4ce0-8dc3-5ceacfbaf572.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/54/5A/18f71d8f-2ed3-4429-98e7-ebec4e4e3f48.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/F4/B9/2abe8fb7-84c4-457f-b44b-e1ebc4232906.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/F4/B9/2abe8fb7-84c4-457f-b44b-e1ebc4232906.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/54/5A/18f71d8f-2ed3-4429-98e7-ebec4e4e3f48.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/E2/6B/c3b5dc3b-5d9f-4e2f-8d36-d2cecb4c3acf.jpeg","Black,Green,Blue","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL",""
"variation","","SKUE37685-Black","Plain Color Striola Chest Pocket Shirts-Black",1,"visible",1,15.01,15.01,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/F4/B9/2abe8fb7-84c4-457f-b44b-e1ebc4232906.jpg","Black","","SKUE37685"
